,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,['LINEAR IC'],['DISCRETE'],0.2603978300180832,0.2579045427146693,0.0349060222477944,0.13404882154882153,0.5197613820130552,-0.032251761026911525,0.8569714733948703,-0.5554105063412104
1,['DISCRETE'],['LINEAR IC'],0.2579045427146693,0.2603978300180832,0.0349060222477944,0.13534473600339955,0.5197613820130552,-0.032251761026911525,0.855372309379504,-0.5545793226425179
2,['LOGIC IC'],['DISCRETE'],0.12154090635103293,0.2579045427146693,0.026987780152337115,0.22204688908926962,0.8609654050759761,-0.004358171721252479,0.9539076929926765,-0.15528389202893184
3,['DISCRETE'],['LOGIC IC'],0.2579045427146693,0.12154090635103293,0.026987780152337115,0.10464251566981835,0.8609654050759761,-0.004358171721252479,0.9811266550210878,-0.1787184766974704
4,['LOGIC IC'],['LINEAR IC'],0.12154090635103293,0.2603978300180832,0.04345443585949915,0.35752930568079355,1.3730118475102695,0.011805447587259113,1.1511842898385205,0.30926216961572645
5,['LINEAR IC'],['LOGIC IC'],0.2603978300180832,0.12154090635103293,0.04345443585949915,0.16687710437710437,1.3730118475102695,0.011805447587259113,1.054417179343241,0.36732472705858416
6,"['LOGIC IC', 'LINEAR IC']",['DISCRETE'],0.04345443585949915,0.2579045427146693,0.014713134966299524,0.3385876418663304,1.3128409383658055,0.003506038557031469,1.1219860774590413,0.24911840059262608
7,"['LOGIC IC', 'DISCRETE']",['LINEAR IC'],0.026987780152337115,0.2603978300180832,0.014713134966299524,0.5451776649746193,2.0936336717428086,0.007685575577625845,1.6261342353397055,0.5368499095539332
8,"['LINEAR IC', 'DISCRETE']",['LOGIC IC'],0.0349060222477944,0.12154090635103293,0.014713134966299524,0.42150706436420726,3.4680263379542016,0.010470625385193274,1.518530373553303,0.7373909400692181
9,['LOGIC IC'],"['LINEAR IC', 'DISCRETE']",0.12154090635103293,0.0349060222477944,0.014713134966299524,0.12105500450856628,3.468026337954201,0.010470625385193274,1.0980140767655255,0.8101134824090244
10,['LINEAR IC'],"['LOGIC IC', 'DISCRETE']",0.2603978300180832,0.026987780152337115,0.014713134966299524,0.05650252525252525,2.0936336717428086,0.007685575577625845,1.0312822724916013,0.7062736474027127
11,['DISCRETE'],"['LOGIC IC', 'LINEAR IC']",0.2579045427146693,0.04345443585949915,0.014713134966299524,0.05704876234994158,1.3128409383658055,0.003506038557031469,1.0144167863062792,0.3211084216905949
